inAir9 ready!
inAir9 freq: 915.00
inAir9 LoRa mod10
inAir9 listening ...

941516 Rx, payload: Decir adios es crecer 469, rssi: -17
943532 Rx, payload: Decir adios es crecer 470, rssi: -18
945549 Rx, payload: Decir adios es crecer 471, rssi: -18
947566 Rx, payload: Decir adios es crecer 472, rssi: -18
949583 Rx, payload: Decir adios es crecer 473, rssi: -18
951599 Rx, payload: Decir adios es crecer 474, rssi: -17
953616 Rx, payload: Decir adios es crecer 475, rssi: -18
955633 Rx, payload: Decir adios es crecer 476, rssi: -18
957650 Rx, payload: Decir adios es crecer 477, rssi: -18
959668 Rx, payload: Decir adios es crecer 478, rssi: -18
