inAir9 ready!
inAir9 freq: 915.00
inAir Tx power: 
inAir9 LoRa mod10
Begining Tx...

644034 Tx, payload: Decir adios es crecer, tx time: 16488 us
646051 Tx, payload: Decir adios es crecer, tx time: 16472 us
648071 Tx, payload: Decir adios es crecer, tx time: 16488 us
650088 Tx, payload: Decir adios es crecer, tx time: 16472 us
652107 Tx, payload: Decir adios es crecer, tx time: 16496 us
654125 Tx, payload: Decir adios es crecer, tx time: 16480 us
656144 Tx, payload: Decir adios es crecer, tx time: 16488 us
658161 Tx, payload: Decir adios es crecer, tx time: 16480 us
660180 Tx, payload: Decir adios es crecer, tx time: 16488 us
662198 Tx, payload: Decir adios es crecer, tx time: 16472 us
664217 Tx, payload: Decir adios es crecer, tx time: 16496 us
666234 Tx, payload: Decir adios es crecer, tx time: 16480 us
668254 Tx, payload: Decir adios es crecer, tx time: 16488 us
670271 Tx, payload: Decir adios es crecer, tx time: 16472 us
672290 Tx, payload: Decir adios es crecer, tx time: 16488 us
674308 Tx, payload: Decir adios es crecer, tx time: 16472 us
676327 Tx, payload: Decir adios es crecer, tx time: 16488 us
678344 Tx, payload: Decir adios es crecer, tx time: 16472 us
680364 Tx, payload: Decir adios es crecer, tx time: 16488 us
682381 Tx, payload: Decir adios es crecer, tx time: 16480 us
684400 Tx, payload: Decir adios es crecer, tx time: 16488 us
686417 Tx, payload: Decir adios es crecer, tx time: 16480 us
688437 Tx, payload: Decir adios es crecer, tx time: 16488 us
690454 Tx, payload: Decir adios es crecer, tx time: 16472 us
692473 Tx, payload: Decir adios es crecer, tx time: 16496 us
694491 Tx, payload: Decir adios es crecer, tx time: 16472 us
696510 Tx, payload: Decir adios es crecer, tx time: 16488 us
698527 Tx, payload: Decir adios es crecer, tx time: 16480 us
700547 Tx, payload: Decir adios es crecer, tx time: 16496 us
702564 Tx, payload: Decir adios es crecer, tx time: 16480 us
704583 Tx, payload: Decir adios es crecer, tx time: 16496 us
706600 Tx, payload: Decir adios es crecer, tx time: 16472 us
708620 Tx, payload: Decir adios es crecer, tx time: 16496 us
710637 Tx, payload: Decir adios es crecer, tx time: 16480 us
712656 Tx, payload: Decir adios es crecer, tx time: 16496 us
714674 Tx, payload: Decir adios es crecer, tx time: 16480 us
716693 Tx, payload: Decir adios es crecer, tx time: 16488 us
718710 Tx, payload: Decir adios es crecer, tx time: 16480 us
720730 Tx, payload: Decir adios es crecer, tx time: 16496 us
722747 Tx, payload: Decir adios es crecer, tx time: 16472 us
724766 Tx, payload: Decir adios es crecer, tx time: 16496 us
726784 Tx, payload: Decir adios es crecer, tx time: 16480 us
728803 Tx, payload: Decir adios es crecer, tx time: 16496 us
730820 Tx, payload: Decir adios es crecer, tx time: 16480 us
732839 Tx, payload: Decir adios es crecer, tx time: 16496 us
734857 Tx, payload: Decir adios es crecer, tx time: 16480 us
736876 Tx, payload: Decir adios es crecer, tx time: 16496 us
738893 Tx, payload: Decir adios es crecer, tx time: 16480 us
